id,pregunta,respuesta,categoria,fuente
1,¿Qué es el Instituto TodoSystem?,"El Instituto TodoSystem es una institución de formación orientada a ofrecer cursos prácticos en áreas tecnológicas, informáticas y administrativas. Esta información hace parte de una base de conocimiento de ejemplo para el proyecto académico.",Institucional,faq_todosystem.csv
2,¿Qué cursos ofrece el instituto?,"El instituto ofrece cursos como Mantenimiento de Computadores, Ofimática Básica, Excel Básico e Intermedio, Diseño Gráfico Básico, Programación Básica y Redes de Computadores.",Cursos,faq_todosystem.csv
3,¿Qué documentos necesito para matricularme?,"Para realizar la matrícula se requiere presentar documento de identidad, diligenciar el formulario de inscripción y confirmar la disponibilidad del curso con el área administrativa.",Matrícula,faq_todosystem.csv
4,¿Cómo puedo inscribirme en un curso?,"El proceso de inscripción consiste en consultar la oferta disponible, seleccionar el curso de interés, diligenciar el formulario de inscripción y confirmar los requisitos con el área administrativa.",Matrícula,faq_todosystem.csv
5,¿El instituto entrega certificado?,"Sí, el instituto puede entregar certificado de participación o aprobación según las condiciones del curso y el cumplimiento de los requisitos académicos definidos.",Certificados,faq_todosystem.csv
6,¿Hay cursos los sábados?,"Sí, algunos cursos se programan los sábados. La disponibilidad depende del curso y debe confirmarse con el área administrativa.",Horarios,faq_todosystem.csv
7,¿Puedo pagar por cuotas?,"Las opciones de pago deben confirmarse directamente con el área administrativa, ya que pueden variar según el curso y las políticas vigentes.",Pagos,faq_todosystem.csv
8,¿Cuánto cuesta un curso?,"El valor de los cursos debe consultarse con el área administrativa. La base de conocimiento no contiene valores definitivos para evitar entregar información desactualizada.",Pagos,faq_todosystem.csv
9,¿Puedo matricular a un menor de edad?,"La matrícula de menores de edad debe realizarse con acompañamiento o autorización del acudiente responsable, según las políticas internas del instituto.",Matrícula,faq_todosystem.csv
10,¿Qué pasa si no puedo asistir a una clase?,"El estudiante debe informar oportunamente su inasistencia al área académica o administrativa. La recuperación de actividades dependerá de las políticas del curso.",Académico,faq_todosystem.csv
11,¿El agente puede asegurarme un cupo?,"No. El agente puede orientar con información general, pero no puede garantizar cupos. La disponibilidad debe confirmarse con el área administrativa del instituto.",Cupos,faq_todosystem.csv
12,¿La información del agente es oficial?,"El agente responde con base en los documentos disponibles en la base de conocimiento. Para decisiones finales sobre pagos, cupos o condiciones específicas, se recomienda confirmar directamente con el instituto.",Institucional,faq_todosystem.csv
